,cluster_name,cluster_size,pattern,mean_similarity,std_similarity
0,63,167625,DESTINATION SRM_PUTDONE Error on the surl srm:/srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms/store/{*}/*/*/{*}/*/*/* while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request,0.68,0.07
1,102,125693,Error on XrdCl:CopyProcess:Run(): [ERROR] Server responded with an error: [*],0.79,0.02
2,141,100898,Error reported from srm_ifce : * [SE][Ls][SRM_INVALID_PATH] No such file or directory /pnfs/*/{*}/{*}/*/*/*/*,0.61,0.01
3,258,76853,TRANSFER globus_ftp_client: the server responded with an error * General problem: Problem while connected to [*]*{*},0.88,0.02
4,70,76492,DESTINATION SRM_PUT_TURL error on the turl request : [SE][{*}][SRM_EXCEED_ALLOCATION] Space associated with the space token * is not enough to hold SURL.,0.88,0.0
5,186,47322,TRANSFER Operation timed out,1.0,0.0
6,154,47215,Protocol not supported or path/url invalid: root:/*/*/{*}/{*}/atlasscratchdisk/rucio/tests/*/*/*,0.63,0.06
7,266,46928,TRANSFER globus_ftp_client: the server responded with an error *{*} error,1.0,0.02
8,14,42573,{*} an end-of-file was reached globus_xio: An end of file occurred,0.81,0.03
9,204,38738,{*}: the server responded with an error * failed. : System error in{*}: No such file or directory * system call failed: No such file or directory * End.,0.93,0.02
10,98,38190,Destination file exists and overwrite is not enabled,1.0,0.0
11,111,37448,Error on XrdCl:CopyProcess:Run(): [ERROR] Server responded with an error: [*] Unable to{*} /{*}/{*}/{*}/{*}/*/*/*{*},0.82,0.03
12,243,36646,TRANSFER globus_ftp_client: the server responded with an error * Command failed. : open/create : [ERROR] Server responded with an error: [*] Unable to get quota space - quota not defined or exhausted /eos/{*}/store/{*}/{*}/{*}/*/{*}/*/*/*/*/*/* Disk quota exceeded,0.79,0.1
13,223,35435,TRANSFER globus_ftp_client: the server responded with an error * All pools are full,1.0,0.0
14,28,32978,{*}: the server responded with an error * Service busy: Connection limit exceeded. Please try again later. Closing control connection.,0.91,0.02
15,104,24185,Error on XrdCl:CopyProcess:Run(): [ERROR] Server responded with an error: [*] Copy failed; unable to{*}.,1.0,0.0
16,255,22707,TRANSFER globus_ftp_client: the server responded with an error * General problem:{*} to{*} [*]*{*},0.9,0.05
17,282,21347,{*} globus_xio: Unable to connect to * globus_xio: System error in connect: Connection timed out globus_xio: A system call failed: Connection timed out,0.9,0.04
18,217,20452,TRANSFER globus_ftp_client: the server responded with an error * * space with id=* does not have enough space,1.0,0.0
